symbol,basic_industry,macro,sector,industry
FLAIR,Stationary,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products
FLEXITUFF,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
FLFL,Diversified Retail,Consumer Discretionary,Consumer Services,Retailing
FLUOROCHEM,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
FMCGIETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
FMGOETZE,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
FMNL,Diversified Commercial Services,Services,Services,Commercial Services & Supplies
FOCE,Gems Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables
FOCUS,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables
FONEBOX,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing
FOODSIN,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
FORCEMOT,Passenger Cars & Utility Vehicles,Consumer Discretionary,Automobile and Auto Components,Automobiles
FORTIS,Hospital,Healthcare,Healthcare,Healthcare Services
FOSECOIND,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
FRETAIL,Diversified Retail,Consumer Discretionary,Consumer Services,Retailing
FROG,Telecom - Equipment & Accessories,Telecommunication,Telecommunication,Telecom - Equipment & Accessories
FSC,Logistics Solution Provider,Services,Services,Transport Services
FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Services,Commercial Services & Supplies
FUSION,Microfinance Institutions,Financial Services,Financial Services,Finance
GABRIEL,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
GAEL,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GAIL,Gas Transmission/Marketing,Energy,Oil Gas & Consumable Fuels,Gas
GALAXYSURF,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
GALLANTT,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
GANDHAR,Lubricants,Energy,Oil Gas & Consumable Fuels,Petroleum Products
GANDHITUBE,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
GANECOS,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GANESHBE,Oil Storage & Transportation,Energy,Oil Gas & Consumable Fuels,Oil
GANESHHOUC,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
GANGAFORGE,Castings & Forgings,Industrials,Capital Goods,Industrial Products
GANGESSECU,Tea & Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GANGOTRI,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GARFIBRES,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GATECH,Other Financial Services,Financial Services,Financial Services,Finance
GATECHDVR,Other Financial Services,Financial Services,Financial Services,Finance
GATEWAY,Logistics Solution Provider,Services,Services,Transport Services
GAYAHWS,Road Assets - Toll Annuity Hybrid-Annuity,Services,Services,Transport Infrastructure
GAYAPROJ,Civil Construction,Industrials,Construction,Construction
GEECEE,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
GEEKAYWIRE,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
GENCON,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
GENESYS,IT Enabled Services,Information Technology,Information Technology,IT - Services
GENSOL,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
GENUSPAPER,Paper & Paper Products,Commodities,Forest Materials,Paper Forest & Jute Products
GENUSPOWER,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
GEOJITFSL,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets
GEPIL,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
GESHIP,Shipping,Services,Services,Transport Services
GET&D,,,,
GFLLIMITED,Holding Company,Financial Services,Financial Services,Finance
GHCL,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
GHCLTEXTIL,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GICHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
GICL,Logistics Solution Provider,Services,Services,Transport Services
GICRE,General Insurance,Financial Services,Financial Services,Insurance
GILLANDERS,Tea & Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GILLETTE,Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
GILT5YBEES,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GINNIFILA,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GIPCL,Power Generation,Utilities,Power,Power
GIRIRAJ,Civil Construction,Industrials,Construction,Construction
GKWLIMITED,Investment Company,Financial Services,Financial Services,Finance
GLAND,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GLAXO,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GLENMARK,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GLFL,Other Financial Services,Financial Services,Financial Services,Finance
GLOBAL,Education,Consumer Discretionary,Consumer Services,Other Consumer Services
GLOBALPET,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
GLOBALVECT,Airline,Services,Services,Transport Services
GLOBE,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
GLOBUSSPR,Breweries & Distilleries,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages
GLOSTERLTD,Jute & Jute Products,Commodities,Forest Materials,Paper Forest & Jute Products
GLS,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GMBREW,Breweries & Distilleries,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages
GMDCLTD,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining
GMMPFAUDLR,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
GMRINFRA,Airport & Airport services,Services,Services,Transport Infrastructure
GMRP&UI,,,,
GNA,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
GNFC,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
GOACARBON,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining
GOCLCORP,Explosives,Commodities,Chemicals,Chemicals & Petrochemicals
GOCOLORS,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing
GODFRYPHLP,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products
GODHA,Cables - Electricals,Industrials,Capital Goods,Industrial Products
GODREJAGRO,Animal Feed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
GODREJCP,Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
GODREJIND,Diversified,Diversified,Diversified,Diversified
GODREJPROP,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
GOENKA,Gems Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables
GOKEX,Garments & Apparels,Consumer Discretionary,Textiles,Textiles & Apparels
GOKUL,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GOKULAGRO,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GOLD1,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDBEES,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDCASE,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDENTOBC,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
GOLDETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDETFADD,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDIAM,Gems Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables
GOLDIETF,,,,
GOLDSHARE,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GOLDSTAR,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
GOLDTECH,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
GOODLUCK,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
GOPAL,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
GOYALALUM,Trading & Distributors,Services,Services,Commercial Services & Supplies
GOYALSALT,Other Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
GPIL,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
GPPL,Port & Port services,Services,Services,Transport Infrastructure
GPTHEALTH,Hospital,Healthcare,Healthcare,Healthcare Services
GPTINFRA,Civil Construction,Industrials,Construction,Construction
GRANULES,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GRAPHISAD,Advertising & Media Agencies,Consumer Discretionary,Media Entertainment & Publication,Media
GRAPHITE,Electrodes & Refractories,Industrials,Capital Goods,Industrial Products
GRASIM,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products
GRASIMPP,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products
GRAVITA,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining
GREAVESCOT,Compressors Pumps & Diesel Engines,Industrials,Capital Goods,Industrial Products
GREENCHEF,Household Appliances,Consumer Discretionary,Consumer Durables,Consumer Durables
GREENLAM,Plywood Boards/ Laminates,Consumer Discretionary,Consumer Durables,Consumer Durables
GREENPANEL,Plywood Boards/ Laminates,Consumer Discretionary,Consumer Durables,Consumer Durables
GREENPLY,Plywood Boards/ Laminates,Consumer Discretionary,Consumer Durables,Consumer Durables
GREENPOWER,Power Generation,Utilities,Power,Power
GRETEX,Media & Entertainment,Consumer Discretionary,Media Entertainment & Publication,Entertainment
GRINDWELL,Abrasives & Bearings,Industrials,Capital Goods,Industrial Products
GRINFRA,Civil Construction,Industrials,Construction,Construction
GRMOVER,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GROBTEA,Tea & Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GRPLTD,Rubber,Industrials,Capital Goods,Industrial Products
GRSE,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense
GRWRHITECH,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products
GSEC10IETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GSEC10YEAR,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GSEC5IETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
GSFC,Fertilizers,Commodities,Chemicals,Fertilizers & Agrochemicals
GSLSU,Granites & Marbles,Consumer Discretionary,Consumer Durables,Consumer Durables
GSPL,Gas Transmission/Marketing,Energy,Oil Gas & Consumable Fuels,Gas
GSS,IT Enabled Services,Information Technology,Information Technology,IT - Services
GTECJAINX,E-Learning,Consumer Discretionary,Consumer Services,Other Consumer Services
GTL,Other Telecom Services,Telecommunication,Telecommunication,Telecom - Services
GTLINFRA,Telecom - Infrastructure,Telecommunication,Telecommunication,Telecom - Services
GTPL,TV Broadcasting & Software Production,Consumer Discretionary,Media Entertainment & Publication,Entertainment
GUFICBIO,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
GUJALKALI,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
GUJAPOLLO,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
GUJGASLTD,LPG/CNG/PNG/LNG Supplier,Energy,Oil Gas & Consumable Fuels,Gas
GUJRAFFIA,Packaging,Industrials,Capital Goods,Industrial Products
GULFOILLUB,Lubricants,Energy,Oil Gas & Consumable Fuels,Petroleum Products
GULFPETRO,Lubricants,Energy,Oil Gas & Consumable Fuels,Petroleum Products
GULPOLY,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
GVKPIL,Civil Construction,Industrials,Construction,Construction
GVPTECH,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
HAL,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense
HAPPSTMNDS,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
HAPPYFORGE,Castings & Forgings,Industrials,Capital Goods,Industrial Products
HARDWYN,Furniture Home Furnishing,Consumer Discretionary,Consumer Durables,Consumer Durables
HARIOMPIPE,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
HARRMALAYA,Rubber,Industrials,Capital Goods,Industrial Products
HARSHA,Other Industrial Products,Industrials,Capital Goods,Industrial Products
HATHWAY,TV Broadcasting & Software Production,Consumer Discretionary,Media Entertainment & Publication,Entertainment
HATSUN,Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
HAVELLS,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables
HAVISHA,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services
HBLPOWER,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
HBSL,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance
HCC,Civil Construction,Industrials,Construction,Construction
HCG,Hospital,Healthcare,Healthcare,Healthcare Services
HCL-INSYS,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware
HCLTECH,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
HDFCAMC,Asset Management Company,Financial Services,Financial Services,Capital Markets
HDFCBANK,Private Sector Bank,Financial Services,Financial Services,Banks
HDFCBSE500,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCGOLD,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCGROWTH,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCLIFE,Life Insurance,Financial Services,Financial Services,Insurance
HDFCLIQUID,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCLOWVOL,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCMID150,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCMOMENT,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCNEXT50,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCNIF100,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCNIFBAN,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCNIFIT,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCNIFTY,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCPSUBK,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCPVTBAN,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCQUAL,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCSENSEX,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCSILVER,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCSML250,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDFCVALUE,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HDIL,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
HEADSUP,Trading - Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
HEALTHADD,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HEALTHIETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HEALTHY,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
HECPROJECT,Civil Construction,Industrials,Construction,Construction
HEG,Electrodes & Refractories,Industrials,Capital Goods,Industrial Products
HEIDELBERG,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products
HEMIPROP,Diversified Commercial Services,Services,Services,Commercial Services & Supplies
HERANBA,Pesticides & Agrochemicals,Commodities,Chemicals,Fertilizers & Agrochemicals
HERCULES,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HERITGFOOD,Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
HEROMOTOCO,2/3 Wheelers,Consumer Discretionary,Automobile and Auto Components,Automobiles
HESTERBIO,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
HEUBACHIND,Dyes And Pigments,Commodities,Chemicals,Chemicals & Petrochemicals
HEXATRADEX,Investment Company,Financial Services,Financial Services,Finance
HFCL,Telecom - Infrastructure,Telecommunication,Telecommunication,Telecom - Services
HGINFRA,Civil Construction,Industrials,Construction,Construction
HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Services,Commercial Services & Supplies
HIGREEN,Waste Management,Utilities,Utilities,Other Utilities
HIKAL,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
HIL,Furniture Home Furnishing,Consumer Discretionary,Consumer Durables,Consumer Durables
HILTON,Castings & Forgings,Industrials,Capital Goods,Industrial Products
HIMATSEIDE,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
HINDALCO,Aluminium,Commodities,Metals & Mining,Non - Ferrous Metals
HINDCOMPOS,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
HINDCON,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
HINDCOPPER,Copper,Commodities,Metals & Mining,Non - Ferrous Metals
HINDMOTORS,Passenger Cars & Utility Vehicles,Consumer Discretionary,Automobile and Auto Components,Automobiles
HINDNATGLS,Packaging,Industrials,Capital Goods,Industrial Products
HINDOILEXP,Oil Exploration & Production,Energy,Oil Gas & Consumable Fuels,Oil
HINDPETRO,Refineries & Marketing,Energy,Oil Gas & Consumable Fuels,Petroleum Products
HINDUNILVR,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG
HINDWAREAP,Sanitary Ware,Consumer Discretionary,Consumer Durables,Consumer Durables
HINDZINC,Zinc,Commodities,Metals & Mining,Non - Ferrous Metals
HIRECT,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HISARMETAL,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
HITECH,Iron & Steel Products,Industrials,Capital Goods,Industrial Products
HITECHCORP,Packaging,Industrials,Capital Goods,Industrial Products
HITECHGEAR,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components
HLEGLAS,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HLVLTD,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services
HMAAGRO,Meat Products including Poultry,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
HMT,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HMVL,Print Media,Consumer Discretionary,Media Entertainment & Publication,Media
HNDFDS,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG
HNGSNGBEES,,,,
HOLMARC,Other Industrial Products,Industrials,Capital Goods,Industrial Products
HOMEFIRST,Housing Finance Company,Financial Services,Financial Services,Finance
HOMESFY,Real Estate related services,Consumer Discretionary,Realty,Realty
HONASA,Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
HONAUT,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HONDAPOWER,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
HOVS,IT Enabled Services,Information Technology,Information Technology,IT - Services
HPAL,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
HPIL,Dyes And Pigments,Commodities,Chemicals,Chemicals & Petrochemicals
HPL,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables
HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Services,Commercial Services & Supplies
HSCL,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
HTMEDIA,Print Media,Consumer Discretionary,Media Entertainment & Publication,Media
HUBTOWN,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUDCO,Financial Institution,Financial Services,Financial Services,Finance
HUHTAMAKI,Packaging,Industrials,Capital Goods,Industrial Products
HYBRIDFIN,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance
IBLFL,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance
IBREALEST,Residential Commercial Projects,Consumer Discretionary,Realty,Realty
IBUCCREDIT,,,,
IBUCCREDIT,,,,
IBUCCREDIT,,,,
IBUCCREDIT,,,,
IBUCCREDIT,,,,
IBULHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
IBULHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
IBULHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
IBULHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
IBULHSGFIN,Housing Finance Company,Financial Services,Financial Services,Finance
